web-scraper-order,web-scraper-start-url,Route number
"1548736449-57","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","71A"
"1548736449-56","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","71"
"1548736449-63","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","77"
"1548736449-6","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","4"
"1548736449-32","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","43"
"1548736449-67","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","83"
"1548736449-11","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","12"
"1548736449-27","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","36"
"1548736449-36","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","51L"
"1548736449-48","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","61B"
"1548736449-19","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","20"
"1548736449-20","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","21"
"1548736449-69","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","87"
"1548736449-72","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","91"
"1548736449-62","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","75"
"1548736449-38","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","53"
"1548736449-30","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","40"
"1548736449-24","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","27"
"1548736449-34","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","48"
"1548736449-17","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","18"
"1548736449-41","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","55"
"1548736449-68","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","86"
"1548736449-40","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","54"
"1548736449-61","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","74"
"1548736449-44","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","58"
"1548736449-65","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","81"
"1548736449-71","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","89"
"1548736449-9","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","8"
"1548736449-8","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","7"
"1548736449-15","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","16"
"1548736449-12","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","13"
"1548736449-73","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","93"
"1548736449-64","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","79"
"1548736449-43","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","57"
"1548736449-10","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","11"
"1548736449-59","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","71C"
"1548736449-51","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","64"
"1548736449-42","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","56"
"1548736449-18","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","19L"
"1548736449-21","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","22"
"1548736449-14","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","15"
"1548736449-54","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","68"
"1548736449-66","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","82"
"1548736449-35","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","51"
"1548736449-25","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","29"
"1548736449-47","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","61A"
"1548736449-23","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","26"
"1548736449-22","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","24"
"1548736449-58","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","71B"
"1548736449-39","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","53L"
"1548736449-60","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","71D"
"1548736449-49","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","61C"
"1548736449-29","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","39"
"1548736449-4","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","1"
"1548736449-13","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","14"
"1548736449-28","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","38"
"1548736449-50","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","61D"
"1548736449-70","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","88"
"1548736449-26","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","31"
"1548736449-46","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","60"
"1548736449-7","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","6"
"1548736449-16","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","17"
"1548736449-53","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","67"
"1548736449-52","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","65"
"1548736449-33","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","44"
"1548736449-5","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","2"
"1548736449-37","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","52L"
"1548736449-45","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","59"
"1548736449-31","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","41"
"1548736449-55","https://en.wikipedia.org/wiki/List_of_bus_routes_in_Pittsburgh","69"
